Sample ID	Tissue	Age	Sex
GTEX-131XE-0626-SM-5HL98	Heart - Left Ventricle	50-59	M
GTEX-131XE-0726-SM-5HL9K	Lung	50-59	M
GTEX-131XE-0826-SM-5HL9W	Colon - Transverse	50-59	M
GTEX-131XE-0926-SM-5HL7J	Small Intestine - Terminal Ileum	50-59	M
GTEX-131XE-1026-SM-5EGKE	Colon - Sigmoid	50-59	M
GTEX-131XE-1126-SM-5EGHW	Spleen	50-59	M
GTEX-131XE-1226-SM-5EGKF	Esophagus - Muscularis	50-59	M
GTEX-131XE-1426-SM-5HL7V	Esophagus - Mucosa	50-59	M
GTEX-131XE-1526-SM-5KM1A	Esophagus - Gastroesophageal Junction	50-59	M
GTEX-131XE-1626-SM-5K7VO	Skin - Not Sun Exposed (Suprapubic)	50-59	M
GTEX-131XE-1926-SM-5IFER	Pancreas	50-59	M
GTEX-131XE-2026-SM-5LZW1	Adipose - Visceral (Omentum)	50-59	M
GTEX-131XE-2226-SM-5PNYX	Stomach	50-59	M
GTEX-131XE-2326-SM-5PNZ2	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-131XE-2426-SM-5EQ5V	Adipose - Subcutaneous	50-59	M
GTEX-131XE-2526-SM-5EQ57	Nerve - Tibial	50-59	M
GTEX-131XE-2626-SM-5PNYY	Artery - Tibial	50-59	M
GTEX-131XE-2726-SM-5P9G7	Muscle - Skeletal	50-59	M
GTEX-131XF-0004-SM-5DU3L	Whole Blood	60-69	M
GTEX-131XF-0006-SM-5P9HK	Whole Blood	60-69	M
GTEX-131XF-0126-SM-5DUVF	Adrenal Gland	60-69	M
GTEX-131XF-0326-SM-5DUVR	Heart - Left Ventricle	60-69	M
GTEX-131XF-0426-SM-5HL7U	Heart - Atrial Appendage	60-69	M
GTEX-131XF-0526-SM-5HL87	Artery - Coronary	60-69	M
GTEX-131XF-0626-SM-5GIDS	Artery - Aorta	60-69	M
GTEX-131XF-0726-SM-5GIE5	Adipose - Visceral (Omentum)	60-69	M
GTEX-131XF-0826-SM-5GICG	Esophagus - Mucosa	60-69	M
GTEX-131XF-0926-SM-5BC69	Esophagus - Muscularis	60-69	M
GTEX-131XF-1026-SM-5BC6A	Lung	60-69	M
GTEX-131XF-1126-SM-5HL8J	Esophagus - Gastroesophageal Junction	60-69	M
GTEX-131XF-1226-SM-5HL8V	Stomach	60-69	M
GTEX-131XF-1326-SM-5GCMQ	Small Intestine - Terminal Ileum	60-69	M
GTEX-131XF-1426-SM-5BC68	Pancreas	60-69	M
GTEX-131XF-1826-SM-5EGKG	Thyroid	60-69	M
GTEX-131XF-1926-SM-5DUW4	Prostate	60-69	M
GTEX-131XF-2026-SM-5DUWG	Testis	60-69	M
GTEX-131XF-2126-SM-5DUWS	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-131XF-2226-SM-5EQKG	Adipose - Subcutaneous	60-69	M
GTEX-131XF-2326-SM-5BC6B	Muscle - Skeletal	60-69	M
GTEX-131XF-2426-SM-5BC6C	Nerve - Tibial	60-69	M
GTEX-131XF-2526-SM-5EQ68	Artery - Tibial	60-69	M
GTEX-131XF-2626-SM-5EQ6K	Skin - Not Sun Exposed (Suprapubic)	60-69	M
GTEX-131XF-2826-SM-5EGKH	Minor Salivary Gland	60-69	M
GTEX-131XG-0003-SM-5DU5J	Whole Blood	50-59	F
GTEX-131XG-0006-SM-5O9CE	Whole Blood	50-59	F
GTEX-131XG-0126-SM-5K7UJ	Adipose - Visceral (Omentum)	50-59	F
GTEX-131XG-0226-SM-5IFG1	Thyroid	50-59	F
GTEX-131XG-0326-SM-5L3DX	Skin - Not Sun Exposed (Suprapubic)	50-59	F
GTEX-131XG-0426-SM-5IFGD	Spleen	50-59	F
GTEX-131XG-0526-SM-5DUWF	Heart - Atrial Appendage	50-59	F
GTEX-131XG-0626-SM-5GCMP	Heart - Left Ventricle	50-59	F
GTEX-131XG-0826-SM-5LZVS	Artery - Coronary	50-59	F
GTEX-131XG-0926-SM-5LZW5	Esophagus - Muscularis	50-59	F
GTEX-131XG-1026-SM-5GCMX	Esophagus - Mucosa	50-59	F
GTEX-131XG-1126-SM-5DUWR	Esophagus - Gastroesophageal Junction	50-59	F
GTEX-131XG-1226-SM-5EGH9	Stomach	50-59	F
GTEX-131XG-1326-SM-5DUX4	Adrenal Gland	50-59	F
GTEX-131XG-1426-SM-5GCMO	Pancreas	50-59	F
GTEX-131XG-1526-SM-5GCNQ	Colon - Sigmoid	50-59	F
GTEX-131XG-1726-SM-5LZUR	Small Intestine - Terminal Ileum	50-59	F
GTEX-131XG-1826-SM-5LZV4	Colon - Transverse	50-59	F
GTEX-131XG-2026-SM-5GCN5	Uterus	50-59	F
GTEX-131XG-2126-SM-5DUXG	Vagina	50-59	F
GTEX-131XG-2226-SM-5DUXS	Artery - Tibial	50-59	F
GTEX-131XG-2326-SM-5HL8F	Muscle - Skeletal	50-59	F
GTEX-131XG-2526-SM-5HL7F	Nerve - Tibial	50-59	F
GTEX-131XG-2626-SM-5KM17	Skin - Sun Exposed (Lower leg)	50-59	F
GTEX-131XH-0003-SM-5DU5M	Whole Blood	50-59	M
GTEX-131XH-0006-SM-5O98V	Whole Blood	50-59	M
GTEX-131XH-0011-R10a-SM-5EGLJ	Brain - Frontal Cortex (BA9)	50-59	M
GTEX-131XH-0011-R11a-SM-5EGLN	Brain - Cerebellar Hemisphere	50-59	M
GTEX-131XH-0011-R1a-SM-5DUWA	Brain - Hippocampus	50-59	M
GTEX-131XH-0011-R2b-SM-5DUVY	Brain - Substantia nigra	50-59	M
GTEX-131XH-0011-R3b-SM-5DUWM	Brain - Anterior cingulate cortex (BA24)	50-59	M
GTEX-131XH-0011-R4b-SM-5DUWB	Brain - Amygdala	50-59	M
GTEX-131XH-0011-R6a-SM-5KM2G	Brain - Nucleus accumbens (basal ganglia)	50-59	M
GTEX-131XH-0011-R8a-SM-5EGLL	Brain - Hypothalamus	50-59	M
GTEX-131XH-0126-SM-5LZUY	Skin - Not Sun Exposed (Suprapubic)	50-59	M
GTEX-131XH-0226-SM-5LZVB	Heart - Left Ventricle	50-59	M
GTEX-131XH-0426-SM-5DUWU	Lung	50-59	M
GTEX-131XH-0526-SM-5DUX7	Thyroid	50-59	M
GTEX-131XH-0626-SM-5LZWH	Liver	50-59	M
GTEX-131XH-0826-SM-5GCN8	Adipose - Visceral (Omentum)	50-59	M
GTEX-131XH-2226-SM-5DUXJ	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-131XH-2426-SM-5PNZ6	Artery - Tibial	50-59	M
GTEX-131XH-2526-SM-5GCND	Nerve - Tibial	50-59	M
GTEX-131XH-2626-SM-5GCNP	Minor Salivary Gland	50-59	M
GTEX-131XH-2726-SM-5GCO2	Muscle - Skeletal	50-59	M
GTEX-131XH-2926-SM-5LZU4	Brain - Cerebellum	50-59	M
GTEX-131XW-0002-SM-5GYA5	Whole Blood	50-59	F
GTEX-131XW-0006-SM-5O9AO	Whole Blood	50-59	F
GTEX-131XW-0011-R10a-SM-5DUVA	Brain - Frontal Cortex (BA9)	50-59	F
GTEX-131XW-0011-R11a-SM-5DUV9	Brain - Cerebellar Hemisphere	50-59	F
GTEX-131XW-0011-R6b-SM-5K7XY	Brain - Nucleus accumbens (basal ganglia)	50-59	F
GTEX-131XW-0011-R8a-SM-5DUWY	Brain - Hypothalamus	50-59	F
GTEX-131XW-0011-R9a-SM-5N9EO	Brain - Spinal cord (cervical c-1)	50-59	F
GTEX-131XW-0226-SM-5IJCA	Artery - Tibial	50-59	F
GTEX-131XW-0326-SM-5KM1J	Muscle - Skeletal	50-59	F
GTEX-131XW-0426-SM-5LZWP	Skin - Sun Exposed (Lower leg)	50-59	F
GTEX-131XW-0526-SM-5PNXZ	Adipose - Subcutaneous	50-59	F
GTEX-131XW-0626-SM-5PNVD	Skin - Not Sun Exposed (Suprapubic)	50-59	F
GTEX-131XW-0726-SM-5EGK3	Breast - Mammary Tissue	50-59	F
GTEX-131XW-1126-SM-5EGK4	Lung	50-59	F
GTEX-131XW-2226-SM-5PNY1	Artery - Aorta	50-59	F
GTEX-131XW-3126-SM-5LZUC	Brain - Cortex	50-59	F
GTEX-131XW-3226-SM-5LZUO	Pituitary	50-59	F
GTEX-131YS-0003-SM-5DU4F	Whole Blood	60-69	F
GTEX-131YS-0005-SM-5NQAS	Whole Blood	60-69	F
GTEX-131YS-0011-R10b-SM-5EQ5N	Brain - Frontal Cortex (BA9)	60-69	F
GTEX-131YS-0011-R11b-SM-5EGLM	Brain - Cerebellar Hemisphere	60-69	F
GTEX-131YS-0011-R1a-SM-5DUXC	Brain - Hippocampus	60-69	F
GTEX-131YS-0011-R3b-SM-5DUXB	Brain - Anterior cingulate cortex (BA24)	60-69	F
GTEX-131YS-0011-R4a-SM-5DUVL	Brain - Amygdala	60-69	F
GTEX-131YS-0011-R5b-SM-5K7YB	Brain - Caudate (basal ganglia)	60-69	F
GTEX-131YS-0011-R7a-SM-5IJDA	Brain - Putamen (basal ganglia)	60-69	F
GTEX-131YS-0011-R9b-SM-5EQLY	Brain - Spinal cord (cervical c-1)	60-69	F
GTEX-131YS-0126-SM-5KM1M	Skin - Sun Exposed (Lower leg)	60-69	F
GTEX-131YS-0226-SM-5IJEH	Adipose - Subcutaneous	60-69	F
GTEX-131YS-0326-SM-5PNYW	Nerve - Tibial	60-69	F
GTEX-131YS-0426-SM-5EQ4J	Artery - Tibial	60-69	F
GTEX-131YS-0526-SM-5EGKJ	Muscle - Skeletal	60-69	F
GTEX-131YS-0626-SM-5EGKL	Breast - Mammary Tissue	60-69	F
GTEX-131YS-0726-SM-5P9G9	Thyroid	60-69	F
GTEX-131YS-0826-SM-5PNYV	Heart - Atrial Appendage	60-69	F
GTEX-131YS-0926-SM-5IJB9	Lung	60-69	F
GTEX-131YS-1126-SM-5N9FQ	Artery - Aorta	60-69	F
GTEX-131YS-1226-SM-5K7VE	Artery - Coronary	60-69	F
GTEX-131YS-1426-SM-5IJF7	Esophagus - Mucosa	60-69	F
GTEX-131YS-1626-SM-5HL6C	Liver	60-69	F
GTEX-131YS-1726-SM-5HL7G	Adipose - Visceral (Omentum)	60-69	F
GTEX-131YS-2026-SM-5P9J8	Adrenal Gland	60-69	F
GTEX-131YS-2226-SM-5P9G8	Ovary	60-69	F
GTEX-131YS-2326-SM-5IJFJ	Uterus	60-69	F
GTEX-131YS-2426-SM-5J2OD	Vagina	60-69	F
GTEX-131YS-2826-SM-5EQ47	Skin - Not Sun Exposed (Suprapubic)	60-69	F
GTEX-131YS-2926-SM-5EGKI	Colon - Sigmoid	60-69	F
GTEX-131YS-3026-SM-5EGHY	Brain - Cerebellum	60-69	F
GTEX-131YS-3126-SM-5KLYT	Brain - Cortex	60-69	F
GTEX-131YS-3226-SM-5IFGV	Pituitary	60-69	F
GTEX-132AR-0002-SM-5DU51	Whole Blood	50-59	F
GTEX-132AR-0006-SM-5NQ7N	Whole Blood	50-59	F
GTEX-132AR-0226-SM-5IJBE	Adipose - Subcutaneous	50-59	F
GTEX-132AR-0326-SM-5KM2C	Skin - Not Sun Exposed (Suprapubic)	50-59	F
GTEX-132AR-0426-SM-5IFH8	Liver	50-59	F
GTEX-132AR-0526-SM-5J2MJ	Adipose - Visceral (Omentum)	50-59	F
GTEX-132AR-0726-SM-5EQ6J	Artery - Tibial	50-59	F
GTEX-132AR-0826-SM-5EGK6	Breast - Mammary Tissue	50-59	F
GTEX-132AR-1026-SM-5PNVL	Muscle - Skeletal	50-59	F
GTEX-132AR-1126-SM-5P9GA	Thyroid	50-59	F
GTEX-132AR-1326-SM-5K7YC	Artery - Coronary	50-59	F
GTEX-132AR-1426-SM-5IFF1	Ovary	50-59	F
GTEX-132AR-1526-SM-5KM1L	Uterus	50-59	F
GTEX-132AR-1626-SM-5EGHP	Vagina	50-59	F
GTEX-132AR-1726-SM-5EGHQ	Adrenal Gland	50-59	F
GTEX-132AR-1826-SM-5EGHR	Pancreas	50-59	F
GTEX-132AR-1926-SM-5EGK5	Heart - Atrial Appendage	50-59	F
GTEX-132AR-2026-SM-5IJG4	Heart - Left Ventricle	50-59	F
GTEX-132AR-2126-SM-5K7XG	Artery - Aorta	50-59	F
GTEX-132AR-2226-SM-5J2NT	Esophagus - Mucosa	50-59	F
GTEX-132AR-2326-SM-5IJDY	Esophagus - Muscularis	50-59	F
GTEX-132AR-2426-SM-5IFFD	Stomach	50-59	F
GTEX-132AR-2526-SM-5PNVM	Esophagus - Gastroesophageal Junction	50-59	F
GTEX-132AR-2726-SM-5PNVN	Colon - Transverse	50-59	F
GTEX-132AR-2826-SM-5IJFV	Colon - Sigmoid	50-59	F
GTEX-132NY-0001-SM-5GYA3	Whole Blood	60-69	M
GTEX-132NY-0005-SM-5O9AC	Whole Blood	60-69	M
GTEX-132NY-0326-SM-5IJBL	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-132NY-0526-SM-5EQ4V	Nerve - Tibial	60-69	M
GTEX-132NY-0626-SM-5L3D9	Artery - Tibial	60-69	M
GTEX-132NY-0726-SM-5KLZM	Muscle - Skeletal	60-69	M
GTEX-132NY-0826-SM-5K7Y7	Breast - Mammary Tissue	60-69	M
GTEX-132NY-0926-SM-5P9G3	Liver	60-69	M
GTEX-132NY-1026-SM-5P9IY	Thyroid	60-69	M
GTEX-132NY-1126-SM-5PNVE	Adipose - Visceral (Omentum)	60-69	M
GTEX-132NY-1226-SM-5PNVF	Lung	60-69	M
GTEX-132NY-1426-SM-5J1MJ	Heart - Atrial Appendage	60-69	M
GTEX-132NY-1726-SM-5EGKK	Heart - Left Ventricle	60-69	M
GTEX-132NY-2026-SM-5L3FM	Esophagus - Gastroesophageal Junction	60-69	M
GTEX-132NY-2226-SM-5J2LZ	Adrenal Gland	60-69	M
GTEX-132NY-2726-SM-5PNY2	Colon - Sigmoid	60-69	M
GTEX-132NY-2826-SM-5P9G2	Prostate	60-69	M
GTEX-132Q8-0004-SM-5DU3I	Whole Blood	60-69	M
GTEX-132Q8-0006-SM-5NQA4	Whole Blood	60-69	M
GTEX-132Q8-0011-R10b-SM-5DUWZ	Brain - Frontal Cortex (BA9)	60-69	M
GTEX-132Q8-0011-R11b-SM-5DUW9	Brain - Cerebellar Hemisphere	60-69	M
GTEX-132Q8-0011-R1a-SM-5EGLK	Brain - Hippocampus	60-69	M
GTEX-132Q8-0011-R2b-SM-5EQ5Z	Brain - Substantia nigra	60-69	M
GTEX-132Q8-0011-R5a-SM-5IJDM	Brain - Caudate (basal ganglia)	60-69	M
GTEX-132Q8-0011-R7b-SM-5N9F1	Brain - Putamen (basal ganglia)	60-69	M
GTEX-132Q8-0011-R8b-SM-5DUWX	Brain - Hypothalamus	60-69	M
GTEX-132Q8-0526-SM-5IJBQ	Artery - Tibial	60-69	M
GTEX-132Q8-0626-SM-5L3F3	Muscle - Skeletal	60-69	M
GTEX-132Q8-1126-SM-5K7XS	Heart - Atrial Appendage	60-69	M
GTEX-132Q8-1426-SM-5EGK7	Breast - Mammary Tissue	60-69	M
GTEX-132Q8-1726-SM-5EGK8	Adipose - Visceral (Omentum)	60-69	M
GTEX-132Q8-1826-SM-5EGIY	Esophagus - Mucosa	60-69	M
GTEX-132Q8-2926-SM-5IFFP	Brain - Cerebellum	60-69	M
GTEX-132Q8-3026-SM-5PNVG	Brain - Cortex	60-69	M
GTEX-132QS-0003-SM-5DU49	Whole Blood	60-69	M
GTEX-132QS-0005-SM-5LZXK	Whole Blood	60-69	M
GTEX-132QS-0126-SM-5IFH9	Adrenal Gland	60-69	M
GTEX-132QS-0226-SM-5IFFZ	Spleen	60-69	M
GTEX-132QS-0326-SM-5IJFN	Thyroid	60-69	M
GTEX-132QS-0426-SM-5KLZ6	Heart - Left Ventricle	60-69	M
GTEX-132QS-0526-SM-5IJC7	Heart - Atrial Appendage	60-69	M
GTEX-132QS-0726-SM-5IJE9	Lung	60-69	M
GTEX-132QS-0826-SM-5K7WV	Adipose - Visceral (Omentum)	60-69	M
GTEX-132QS-0926-SM-5P9GB	Pancreas	60-69	M
GTEX-132QS-1126-SM-5P9GC	Prostate	60-69	M
GTEX-132QS-1226-SM-5P9GD	Testis	60-69	M
GTEX-132QS-1426-SM-5P9GE	Esophagus - Mucosa	60-69	M
GTEX-132QS-1526-SM-5J2MV	Esophagus - Muscularis	60-69	M
GTEX-132QS-1626-SM-5K7YZ	Esophagus - Gastroesophageal Junction	60-69	M
GTEX-132QS-1826-SM-5IFFN	Stomach	60-69	M
GTEX-1339X-0004-SM-5HJQH	Whole Blood	40-49	M
GTEX-1339X-0326-SM-5K7Z8	Heart - Atrial Appendage	40-49	M
GTEX-1339X-0426-SM-5KLZY	Heart - Left Ventricle	40-49	M
GTEX-1339X-0526-SM-5KLYW	Artery - Aorta	40-49	M
GTEX-1339X-0626-SM-5IJER	Lung	40-49	M
GTEX-1339X-0726-SM-5L3FF	Adipose - Visceral (Omentum)	40-49	M
GTEX-1339X-0826-SM-5J2O6	Adrenal Gland	40-49	M
GTEX-1339X-1026-SM-5IFH5	Pancreas	40-49	M
GTEX-1339X-1126-SM-5J2OI	Esophagus - Gastroesophageal Junction	40-49	M
GTEX-1339X-1226-SM-5PNVO	Esophagus - Mucosa	40-49	M
GTEX-1339X-1426-SM-5K7YO	Stomach	40-49	M
GTEX-1339X-1626-SM-5IJDN	Colon - Transverse	40-49	M
GTEX-1339X-1726-SM-5P9J9	Colon - Sigmoid	40-49	M
GTEX-1339X-1926-SM-5PNVP	Testis	40-49	M
GTEX-1339X-2326-SM-5HL5B	Minor Salivary Gland	40-49	M
GTEX-1339X-2426-SM-5KLYU	Muscle - Skeletal	40-49	M
GTEX-1339X-2626-SM-5K7YX	Artery - Tibial	40-49	M
GTEX-1339X-2726-SM-5PNYU	Nerve - Tibial	40-49	M
GTEX-133LE-0001-SM-5ANGK	Whole Blood	20-29	F
GTEX-133LE-0001-SM-5DWRY	Whole Blood	20-29	F
GTEX-133LE-0226-SM-5PNY3	Artery - Aorta	20-29	F
GTEX-133LE-0326-SM-5P9G4	Thyroid	20-29	F
GTEX-133LE-0526-SM-5N9EJ	Lung	20-29	F
GTEX-133LE-0626-SM-5IFFJ	Esophagus - Mucosa	20-29	F
GTEX-133LE-0726-SM-5P9IZ	Esophagus - Muscularis	20-29	F
GTEX-133LE-0926-SM-5P9J1	Adipose - Visceral (Omentum)	20-29	F
GTEX-133LE-1226-SM-5IFGC	Ovary	20-29	F
GTEX-133LE-1326-SM-5IFGO	Stomach	20-29	F
GTEX-133LE-1426-SM-5IFH1	Small Intestine - Terminal Ileum	20-29	F
GTEX-133LE-1526-SM-5IFEN	Colon - Transverse	20-29	F
GTEX-133LE-1726-SM-5K7VQ	Breast - Mammary Tissue	20-29	F
GTEX-133LE-1826-SM-5J1MV	Skin - Sun Exposed (Lower leg)	20-29	F
GTEX-133LE-1926-SM-5N9FV	Adipose - Subcutaneous	20-29	F
GTEX-133LE-2026-SM-5K7WM	Muscle - Skeletal	20-29	F
GTEX-133LE-2126-SM-5IJBX	Nerve - Tibial	20-29	F
GTEX-133LE-2226-SM-5IFGU	Artery - Tibial	20-29	F
GTEX-133LE-2326-SM-5K7W3	Skin - Not Sun Exposed (Suprapubic)	20-29	F
GTEX-1399Q-0004-SM-5ANGQ	Whole Blood	40-49	M
GTEX-1399Q-0004-SM-5DWRI	Whole Blood	40-49	M
GTEX-1399Q-0005-SM-5NQAG	Whole Blood	40-49	M
GTEX-1399Q-1126-SM-5P9JA	Esophagus - Mucosa	40-49	M
GTEX-1399Q-2326-SM-5KM2X	Skin - Not Sun Exposed (Suprapubic)	40-49	M
GTEX-1399Q-2426-SM-5J2MO	Muscle - Skeletal	40-49	M
GTEX-1399Q-2826-SM-5IJEZ	Testis	40-49	M
GTEX-1399R-0003-SM-5HJRL_1	Whole Blood	30-39	M
GTEX-1399R-0006-SM-5N9FR	Whole Blood	30-39	M
GTEX-1399R-0126-SM-5IFEV	Thyroid	30-39	M
GTEX-1399R-0226-SM-5IJGG	Spleen	30-39	M
GTEX-1399R-0326-SM-5KM1X	Adrenal Gland	30-39	M
GTEX-1399R-0426-SM-5IJE3	Pancreas	30-39	M
GTEX-1399R-0526-SM-5IJEF	Prostate	30-39	M
GTEX-1399R-0626-SM-5K7UZ	Artery - Aorta	30-39	M
GTEX-1399R-0726-SM-5KM2A	Esophagus - Muscularis	30-39	M
GTEX-1399R-0826-SM-5IJEL	Esophagus - Mucosa	30-39	M
GTEX-1399R-0926-SM-5J2N8	Esophagus - Gastroesophageal Junction	30-39	M
GTEX-1399R-1126-SM-5IFIO	Stomach	30-39	M
GTEX-1399R-1226-SM-5P9GF	Liver	30-39	M
GTEX-1399R-1326-SM-5PNYS	Skin - Not Sun Exposed (Suprapubic)	30-39	M
GTEX-1399R-1626-SM-5P9GG	Testis	30-39	M
GTEX-1399R-1726-SM-5K7YJ	Heart - Atrial Appendage	30-39	M
GTEX-1399R-1826-SM-5J2M9	Artery - Coronary	30-39	M
GTEX-1399R-1926-SM-5K7X8	Heart - Left Ventricle	30-39	M
GTEX-1399R-2026-SM-5K7WN	Small Intestine - Terminal Ileum	30-39	M
GTEX-1399R-2126-SM-5K7WZ	Colon - Sigmoid	30-39	M
GTEX-1399R-2226-SM-5P9JB	Colon - Transverse	30-39	M
GTEX-1399R-2326-SM-5PNYT	Artery - Tibial	30-39	M
GTEX-1399R-2426-SM-5IJFC	Nerve - Tibial	30-39	M
GTEX-1399R-2526-SM-5IFG2	Muscle - Skeletal	30-39	M
GTEX-1399R-2626-SM-5KLZ7	Adipose - Subcutaneous	30-39	M
GTEX-1399R-2726-SM-5IJBA	Skin - Sun Exposed (Lower leg)	30-39	M
GTEX-1399S-0006-SM-5NQ7U	Whole Blood	30-39	F
GTEX-1399S-0126-SM-5IJCF	Skin - Not Sun Exposed (Suprapubic)	30-39	F
GTEX-1399S-0226-SM-5IFFG	Spleen	30-39	F
GTEX-1399S-0326-SM-5IFFS	Pancreas	30-39	F
GTEX-1399S-0426-SM-5IFG5	Adrenal Gland	30-39	F
GTEX-1399S-0526-SM-5IJG8	Kidney - Cortex	30-39	F
GTEX-1399S-0826-SM-5KM23	Heart - Atrial Appendage	30-39	F
GTEX-1399S-0926-SM-5PNVQ	Artery - Coronary	30-39	F
GTEX-1399S-1026-SM-5KLZ9	Heart - Left Ventricle	30-39	F
GTEX-1399S-1226-SM-5J1O6	Esophagus - Muscularis	30-39	F
GTEX-1399S-1326-SM-5P9GH	Esophagus - Mucosa	30-39	F
GTEX-1399S-1426-SM-5PNYQ	Adipose - Visceral (Omentum)	30-39	F
GTEX-1399S-1526-SM-5P9JC	Esophagus - Gastroesophageal Junction	30-39	F
GTEX-1399S-1626-SM-5P9GI	Stomach	30-39	F
GTEX-1399S-1726-SM-5L3DI	Lung	30-39	F
GTEX-1399S-1926-SM-5J2M5	Colon - Transverse	30-39	F
GTEX-1399S-2026-SM-5KM4B	Small Intestine - Terminal Ileum	30-39	F
GTEX-1399S-2126-SM-5J2MH	Ovary	30-39	F
GTEX-1399S-2226-SM-5IFEW	Uterus	30-39	F
GTEX-1399S-2326-SM-5K7YV	Vagina	30-39	F
GTEX-1399S-2426-SM-5K7U3	Nerve - Tibial	30-39	F
GTEX-1399S-2626-SM-5L3DU	Artery - Tibial	30-39	F
GTEX-1399S-2726-SM-5KM22	Muscle - Skeletal	30-39	F
GTEX-1399T-0004-SM-5HJPS_1	Whole Blood	60-69	M
GTEX-1399T-0011-R11a-SM-5J2O1	Brain - Cerebellar Hemisphere	60-69	M
GTEX-1399T-0011-R1b-SM-5DUWN	Brain - Hippocampus	60-69	M
GTEX-1399T-0011-R2b-SM-5DUXM	Brain - Substantia nigra	60-69	M
GTEX-1399T-0011-R4b-SM-5DUVX	Brain - Amygdala	60-69	M
GTEX-1399T-0011-R5b-SM-5IJDK	Brain - Caudate (basal ganglia)	60-69	M
GTEX-1399T-0011-R6b-SM-5K7YL	Brain - Nucleus accumbens (basal ganglia)	60-69	M
GTEX-1399T-0011-R8b-SM-5IJD8	Brain - Hypothalamus	60-69	M
GTEX-1399T-0126-SM-5KM15	Thyroid	60-69	M
GTEX-1399T-0426-SM-5PNVJ	Heart - Left Ventricle	60-69	M
GTEX-1399T-0526-SM-5J1NC	Artery - Aorta	60-69	M
GTEX-1399T-0726-SM-5J1MH	Heart - Atrial Appendage	60-69	M
GTEX-1399T-0826-SM-5IFES	Liver	60-69	M
GTEX-1399T-1226-SM-5P9J5	Prostate	60-69	M
GTEX-1399T-1326-SM-5PNVH	Adipose - Visceral (Omentum)	60-69	M
GTEX-1399T-1526-SM-5P9J6	Testis	60-69	M
GTEX-1399T-2426-SM-5L3FJ	Muscle - Skeletal	60-69	M
GTEX-1399T-2626-SM-5L3E4	Artery - Tibial	60-69	M
GTEX-1399T-2726-SM-5K7XK	Adipose - Subcutaneous	60-69	M
GTEX-1399T-2826-SM-5KLYZ	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-1399T-2926-SM-5IFF8	Pituitary	60-69	M
GTEX-1399T-3026-SM-5KLZC	Brain - Cortex	60-69	M
GTEX-1399T-3126-SM-5IJFS	Brain - Cerebellum	60-69	M
GTEX-1399U-0004-SM-5HJQ5	Whole Blood	50-59	F
GTEX-1399U-0005-SM-5NQ8K	Whole Blood	50-59	F
GTEX-1399U-0008-SM-5S2VE	Cells - Transformed fibroblasts	50-59	F
GTEX-1399U-0226-SM-5P9J2	Adrenal Gland	50-59	F
GTEX-1399U-0326-SM-5P9G5	Thyroid	50-59	F
GTEX-1399U-0426-SM-5K7UU	Artery - Aorta	50-59	F
GTEX-1399U-0526-SM-5K7YM	Heart - Left Ventricle	50-59	F
GTEX-1399U-0626-SM-5J1NZ	Artery - Coronary	50-59	F
GTEX-1399U-0726-SM-5KM1D	Heart - Atrial Appendage	50-59	F
GTEX-1399U-0826-SM-5KM1P	Lung	50-59	F
GTEX-1399U-0926-SM-5IFHA	Pancreas	50-59	F
GTEX-1399U-1026-SM-5J1OC	Esophagus - Mucosa	50-59	F
GTEX-1399U-1126-SM-5L3DB	Skin - Not Sun Exposed (Suprapubic)	50-59	F
GTEX-1399U-1226-SM-5K7XT	Esophagus - Muscularis	50-59	F
GTEX-1399U-1326-SM-5IJET	Uterus	50-59	F
GTEX-1399U-1426-SM-5J1N8	Esophagus - Gastroesophageal Junction	50-59	F
GTEX-1399U-1526-SM-5J2N7	Vagina	50-59	F
GTEX-1399U-1626-SM-5P9J3	Stomach	50-59	F
GTEX-1399U-1726-SM-5P9J4	Ovary	50-59	F
GTEX-1399U-1826-SM-5PNZ1	Breast - Mammary Tissue	50-59	F
GTEX-1399U-1926-SM-5IFH7	Colon - Transverse	50-59	F
GTEX-1399U-2126-SM-5IFEZ	Small Intestine - Terminal Ileum	50-59	F
GTEX-1399U-2226-SM-5KLZI	Colon - Sigmoid	50-59	F
GTEX-1399U-2326-SM-5K7WY	Skin - Sun Exposed (Lower leg)	50-59	F
GTEX-1399U-2426-SM-5K7XB	Adipose - Subcutaneous	50-59	F
GTEX-1399U-2526-SM-5L3DL	Muscle - Skeletal	50-59	F
GTEX-139D8-0001-SM-5GYBZ	Whole Blood	30-39	F
GTEX-139D8-0006-SM-5LZX8	Whole Blood	30-39	F
GTEX-139D8-0226-SM-5KLZO	Skin - Sun Exposed (Lower leg)	30-39	F
GTEX-139D8-0326-SM-5IJCJ	Adipose - Subcutaneous	30-39	F
GTEX-139D8-0726-SM-5P9GJ	Muscle - Skeletal	30-39	F
GTEX-139D8-1126-SM-5LU8W	Skin - Not Sun Exposed (Suprapubic)	30-39	F
GTEX-139D8-1226-SM-5L3ED	Artery - Aorta	30-39	F
GTEX-139D8-1426-SM-5IJEX	Esophagus - Muscularis	30-39	F
