	Confirmed	Tentative	RMSE Conf	RSq Conf	RMSE Tent	RSq Tent
Nerve-Tibial	ENSG00000177606.5, ENSG00000163564.10, ENSG00000162734.8, ENSG00000183780.8, ENSG00000136002.12, ENSG00000128713.11, ENSG00000128710.5, ENSG00000157087.12, ENSG00000163812.9, ENSG00000244681.1, ENSG00000080224.13, ENSG00000082781.7, ENSG00000172667.6, ENSG00000178163.3, ENSG00000047365.7, ENSG00000154447.10, ENSG00000164107.7, ENSG00000237125.4, ENSG00000177453.3, ENSG00000249249.1, ENSG00000120729.5, ENSG00000031003.6, ENSG00000113578.13, ENSG00000055163.14, ENSG00000204764.8, ENSG00000272341.1, ENSG00000244694.3, ENSG00000008196.8, ENSG00000146147.10, ENSG00000112319.13, ENSG00000175048.12, ENSG00000106571.8, ENSG00000106565.13, ENSG00000249694.2, ENSG00000164749.7, ENSG00000147852.11, ENSG00000147889.12, ENSG00000196781.9, ENSG00000077327.11, ENSG00000160703.11, ENSG00000182667.10, ENSG00000166535.15, ENSG00000259937.1, ENSG00000135643.4, ENSG00000072041.12, ENSG00000176871.4, ENSG00000137767.9, ENSG00000197535.10, ENSG00000103647.8, ENSG00000137807.9, ENSG00000181026.13, ENSG00000167930.11, ENSG00000132359.9, ENSG00000170579.10, ENSG00000134762.12, ENSG00000125648.10, ENSG00000196109.6, ENSG00000179909.11, ENSG00000100285.9, ENSG00000131080.10, ENSG00000229601.1, ENSG00000102385.8, ENSG00000198910.8	ENSG00000160678.7, ENSG00000151883.12, ENSG00000146090.11, ENSG00000093144.14, ENSG00000106078.13, ENSG00000182050.9, ENSG00000054690.9, ENSG00000157483.4, ENSG00000204323.5, ENSG00000132470.9, ENSG00000141639.7, ENSG00000101463.5	9.54776160703866	0.416549838784082	9.37552137271665	0.437410675421352
Pancreas	ENSG00000144366.11, ENSG00000114942.9, ENSG00000206384.6, ENSG00000172667.6, ENSG00000272567.1, ENSG00000244694.3, ENSG00000112234.4, ENSG00000181690.3, ENSG00000147889.12, ENSG00000231632.1, ENSG00000148082.5, ENSG00000224945.1, ENSG00000137699.12, ENSG00000244306.5, ENSG00000140835.8, ENSG00000260015.1, ENSG00000262006.1, ENSG00000169515.5, ENSG00000159212.8, ENSG00000147027.3	ENSG00000087903.8	9.45725594097121	0.27941587339553	9.50654233854582	0.271885668228215
Muscle-Skeletal	ENSG00000011007.8, ENSG00000198746.8, ENSG00000116329.6, ENSG00000226852.2, ENSG00000163395.12, ENSG00000151092.12, ENSG00000163638.9, ENSG00000130997.12, ENSG00000047365.7, ENSG00000174473.11, ENSG00000164120.9, ENSG00000113389.11, ENSG00000112852.4, ENSG00000120327.4, ENSG00000146122.12, ENSG00000168143.8, ENSG00000236345.1, ENSG00000234147.1, ENSG00000105877.13, ENSG00000005020.8, ENSG00000170775.2, ENSG00000159167.7, ENSG00000173253.10, ENSG00000147889.12, ENSG00000107105.10, ENSG00000187186.10, ENSG00000148468.12, ENSG00000182180.9, ENSG00000236467.3, ENSG00000196072.7, ENSG00000069696.6, ENSG00000048540.10, ENSG00000123388.4, ENSG00000022840.11, ENSG00000197991.10, ENSG00000225210.5, ENSG00000100522.4, ENSG00000137766.12, ENSG00000262061.1, ENSG00000133020.4, ENSG00000166582.5, ENSG00000141034.5, ENSG00000173805.11, ENSG00000136457.5, ENSG00000161513.7, ENSG00000082397.11, ENSG00000134278.10, ENSG00000264278.1, ENSG00000188039.9, ENSG00000131116.7, ENSG00000125534.5, ENSG00000159212.8, ENSG00000233818.1, ENSG00000169306.5, ENSG00000224292.1, ENSG00000131080.10, ENSG00000134595.6	ENSG00000007933.8, ENSG00000174173.6, ENSG00000120278.10, ENSG00000213563.2, ENSG00000095397.9, ENSG00000168067.7, ENSG00000111249.9, ENSG00000267874.1, ENSG00000025770.14, ENSG00000147231.9	10.5545757483339	0.269950353969752	10.4617387204682	0.282736763761169
Prostate	ENSG00000163875.11, ENSG00000163879.9, ENSG00000085832.12, ENSG00000162598.9, ENSG00000134193.10, ENSG00000162687.12, ENSG00000115598.5, ENSG00000196228.2, ENSG00000163501.6, ENSG00000144935.10, ENSG00000271778.1, ENSG00000226950.2, ENSG00000164176.8, ENSG00000183111.7, ENSG00000124713.5, ENSG00000244694.3, ENSG00000112379.8, ENSG00000227038.2, ENSG00000177683.9, ENSG00000253270.1, ENSG00000254869.1, ENSG00000147889.12, ENSG00000183346.6, ENSG00000269895.1, ENSG00000235268.2, ENSG00000174233.7, ENSG00000135108.10, ENSG00000224356.3, ENSG00000258451.1, ENSG00000092068.14, ENSG00000177946.4, ENSG00000167842.11, ENSG00000187650.3, ENSG00000105607.8, ENSG00000176401.5, ENSG00000269404.2, ENSG00000100982.7, ENSG00000093010.7, ENSG00000196632.6, ENSG00000130054.4, ENSG00000158290.12	ENSG00000116299.12, ENSG00000143437.16, ENSG00000042445.9, ENSG00000144278.10, ENSG00000172007.5, ENSG00000120798.12	13.2897360766515	-0.0423303376285082	12.9204446156078	0.0147927858459685
Skin-NotSunExposed(Suprapubic)	ENSG00000133226.12, ENSG00000234112.2, ENSG00000138439.10, ENSG00000260804.2, ENSG00000163466.11, ENSG00000237126.4, ENSG00000185049.8, ENSG00000244694.3, ENSG00000135597.14, ENSG00000270949.1, ENSG00000224593.1, ENSG00000205060.6, ENSG00000012232.4, ENSG00000254131.1, ENSG00000125485.13, ENSG00000231025.1, ENSG00000255442.1, ENSG00000139200.9, ENSG00000110917.3, ENSG00000090061.13, ENSG00000259933.2, ENSG00000103154.5, ENSG00000170310.10, ENSG00000168792.4, ENSG00000185158.8, ENSG00000101782.10, ENSG00000125813.9, ENSG00000270001.1, ENSG00000100038.15	ENSG00000142627.9, ENSG00000143207.15, ENSG00000152127.4, ENSG00000083896.8, ENSG00000241935.4, ENSG00000267255.1, ENSG00000072071.12, ENSG00000131269.11	10.9499292049897	0.136134384690876	11.1825733053361	0.0990367576130516
Cervix-Ectocervix	NA	NA	NA	NA	NA	NA
SmallIntestine-TerminalIleum	ENSG00000117399.9, ENSG00000143228.8, ENSG00000169607.8, ENSG00000123485.7, ENSG00000169019.9, ENSG00000081051.3, ENSG00000138778.7, ENSG00000260091.1, ENSG00000130957.4, ENSG00000170312.11, ENSG00000148773.8, ENSG00000162063.8, ENSG00000166851.10, ENSG00000178999.8, ENSG00000089685.10, ENSG00000262585.1, ENSG00000100121.8	ENSG00000129810.10, ENSG00000255967.1	15.3220478646579	-0.476655493767026	14.706685663752	-0.36042679170458
Skin-SunExposed(Lowerleg)	ENSG00000060718.14, ENSG00000134250.13, ENSG00000163564.10, ENSG00000213064.5, ENSG00000124380.6, ENSG00000136531.9, ENSG00000260804.2, ENSG00000269975.1, ENSG00000156959.7, ENSG00000114738.6, ENSG00000271976.1, ENSG00000178053.13, ENSG00000238741.1, ENSG00000138669.5, ENSG00000251603.1, ENSG00000154162.9, ENSG00000112852.4, ENSG00000177839.4, ENSG00000112319.13, ENSG00000133619.13, ENSG00000253414.2, ENSG00000147889.12, ENSG00000214402.6, ENSG00000255442.1, ENSG00000186652.5, ENSG00000166025.13, ENSG00000204403.5, ENSG00000048540.10, ENSG00000253284.2, ENSG00000250133.2, ENSG00000175215.5, ENSG00000110917.3, ENSG00000158023.5, ENSG00000244306.5, ENSG00000258920.1, ENSG00000179151.7, ENSG00000103489.7, ENSG00000260047.1, ENSG00000259882.1, ENSG00000261217.2, ENSG00000261609.3, ENSG00000105221.12, ENSG00000101152.6, ENSG00000100285.9, ENSG00000100321.10, ENSG00000073146.11, ENSG00000056998.14, ENSG00000237863.2, ENSG00000157600.7	ENSG00000176720.3, ENSG00000100632.6, ENSG00000171189.12	9.22563928250337	0.419953861389194	9.28558863800747	0.412390944170067
Brain-Spinalcord(cervicalc-1)	ENSG00000001461.12, ENSG00000018280.12, ENSG00000170846.11, ENSG00000261757.1, ENSG00000258227.2, ENSG00000148123.10, ENSG00000178372.6, ENSG00000229534.1, ENSG00000135414.5, ENSG00000270055.1, ENSG00000129667.8, ENSG00000186431.14, ENSG00000241886.1, ENSG00000201440.1	ENSG00000237133.1	15.1998018417215	-0.460186646241856	15.2839331297535	-0.47639572137148
Pituitary	ENSG00000164040.12, ENSG00000187837.2, ENSG00000236816.2, ENSG00000259606.2, ENSG00000215421.5, ENSG00000076924.7, ENSG00000072958.4, ENSG00000229766.2, ENSG00000185808.9, ENSG00000272682.1, ENSG00000184788.8	NA	12.4804665994167	-0.40326168053293	NA	NA
Spleen	ENSG00000122417.11, ENSG00000007933.8, ENSG00000082898.12, ENSG00000196843.11, ENSG00000250337.1, ENSG00000251493.2, ENSG00000177839.4, ENSG00000112511.13, ENSG00000234500.1, ENSG00000237437.1, ENSG00000229422.1, ENSG00000168283.9, ENSG00000132970.8, ENSG00000211937.2, ENSG00000128973.7, ENSG00000067141.12, ENSG00000259064.2, ENSG00000125898.8, ENSG00000173638.14	ENSG00000255545.3, ENSG00000120675.4, ENSG00000267795.1, ENSG00000167536.9	9.97887842631742	0.164007830519823	10.4653631608017	0.0805092740098831
Esophagus-Muscularis	ENSG00000189410.7, ENSG00000227637.1, ENSG00000124380.6, ENSG00000244681.1, ENSG00000213186.3, ENSG00000185112.4, ENSG00000164181.9, ENSG00000244694.3, ENSG00000112319.13, ENSG00000004846.12, ENSG00000004864.9, ENSG00000183784.5, ENSG00000107099.11, ENSG00000225511.2, ENSG00000207864.1, ENSG00000156113.16, ENSG00000185303.11, ENSG00000107438.4, ENSG00000244734.2, ENSG00000008394.8, ENSG00000205592.9, ENSG00000182473.16, ENSG00000213762.6, ENSG00000181894.10, ENSG00000197934.4, ENSG00000215270.3, ENSG00000206195.6, ENSG00000130962.13	ENSG00000175206.6, ENSG00000234284.2, ENSG00000186466.4, ENSG00000171792.6	10.9906905583646	0.247923418263969	10.8382757515292	0.268637821936285
Lung	ENSG00000204219.5, ENSG00000162639.11, ENSG00000143248.8, ENSG00000143196.4, ENSG00000143942.4, ENSG00000035141.3, ENSG00000115252.14, ENSG00000162998.4, ENSG00000224287.2, ENSG00000132329.6, ENSG00000248608.2, ENSG00000145242.9, ENSG00000249042.1, ENSG00000113083.8, ENSG00000124615.13, ENSG00000244694.3, ENSG00000222713.1, ENSG00000270933.1, ENSG00000136197.8, ENSG00000106624.4, ENSG00000147889.12, ENSG00000256361.1, ENSG00000255860.2, ENSG00000139112.6, ENSG00000198056.9, ENSG00000180730.4, ENSG00000215417.6, ENSG00000102452.11, ENSG00000198542.9, ENSG00000137806.4, ENSG00000179151.7, ENSG00000162063.8, ENSG00000166851.10, ENSG00000132199.14, ENSG00000168734.9, ENSG00000087586.13, ENSG00000261706.1, ENSG00000131080.10	ENSG00000153147.5, ENSG00000165507.8, ENSG00000206195.6	11.1641833451007	0.154661397181401	11.13667822749	0.158821575341125
Testis	ENSG00000171680.16, ENSG00000211454.9, ENSG00000168509.13, ENSG00000183853.13, ENSG00000174307.5, ENSG00000176393.6, ENSG00000204717.4, ENSG00000238273.3, ENSG00000135916.11, ENSG00000171209.3, ENSG00000164093.11, ENSG00000249513.2, ENSG00000113532.8, ENSG00000260581.1, ENSG00000224012.3, ENSG00000213676.6, ENSG00000244694.3, ENSG00000004846.12, ENSG00000253293.3, ENSG00000157168.14, ENSG00000236316.2, ENSG00000067064.6, ENSG00000237399.3, ENSG00000183621.11, ENSG00000180139.10, ENSG00000095539.11, ENSG00000244242.1, ENSG00000134575.5, ENSG00000249910.2, ENSG00000197614.6, ENSG00000256625.1, ENSG00000074527.7, ENSG00000075188.4, ENSG00000257611.1, ENSG00000258418.1, ENSG00000271347.1, ENSG00000140284.6, ENSG00000262152.2, ENSG00000140945.11, ENSG00000233098.4, ENSG00000265790.1, ENSG00000172809.8, ENSG00000161847.9, ENSG00000171291.4, ENSG00000125841.8	ENSG00000158769.13, ENSG00000160703.11, ENSG00000256343.3, ENSG00000066739.7	9.5443032530422	0.499490080352226	9.55839108095071	0.498011438842494
Stomach	ENSG00000163468.10, ENSG00000181873.8, ENSG00000151576.6, ENSG00000249637.1, ENSG00000137168.7, ENSG00000153294.7, ENSG00000112319.13, ENSG00000242798.1, ENSG00000091127.9, ENSG00000165055.11, ENSG00000256185.1, ENSG00000225210.5, ENSG00000244306.5, ENSG00000149926.9, ENSG00000258472.4, ENSG00000129911.4, ENSG00000126003.6	ENSG00000163879.9, ENSG00000172061.7, ENSG00000273489.1, ENSG00000181638.13	11.079782123114	0.303231376761271	11.4337851471473	0.257996081338924
Uterus	ENSG00000122188.8, ENSG00000196533.6, ENSG00000186205.8, ENSG00000177614.5, ENSG00000115457.5, ENSG00000132164.5, ENSG00000168779.15, ENSG00000168824.10, ENSG00000178163.3, ENSG00000183439.5, ENSG00000248632.1, ENSG00000152669.8, ENSG00000164199.11, ENSG00000169258.6, ENSG00000124762.9, ENSG00000079931.10, ENSG00000170381.8, ENSG00000164647.4, ENSG00000105825.7, ENSG00000128596.12, ENSG00000164778.4, ENSG00000104369.4, ENSG00000171033.8, ENSG00000181074.3, ENSG00000170959.10, ENSG00000184937.8, ENSG00000139266.5, ENSG00000072041.12, ENSG00000187855.5, ENSG00000102683.6, ENSG00000235205.1, ENSG00000176165.7, ENSG00000076344.11, ENSG00000167971.14, ENSG00000174938.10, ENSG00000245694.4, ENSG00000166446.10, ENSG00000179294.5, ENSG00000167100.10, ENSG00000108375.8, ENSG00000065989.11, ENSG00000105058.7, ENSG00000125744.7, ENSG00000125746.10, ENSG00000131409.8, ENSG00000185272.9, ENSG00000056998.14, ENSG00000072133.6, ENSG00000204071.5, ENSG00000184515.6, ENSG00000147231.9, ENSG00000129680.11, ENSG00000156920.6, ENSG00000185275.6	ENSG00000170791.13, ENSG00000110675.8, ENSG00000154096.9, ENSG00000102871.11, ENSG00000100987.10, ENSG00000138944.7	9.249637329669	0.501293965949705	10.110504714399	0.404144591827103
Thyroid	ENSG00000237973.1, ENSG00000116819.6, ENSG00000212916.3, ENSG00000270640.1, ENSG00000196659.9, ENSG00000197557.6, ENSG00000235070.3, ENSG00000224287.2, ENSG00000185614.4, ENSG00000174173.6, ENSG00000114491.9, ENSG00000196455.3, ENSG00000138231.8, ENSG00000172667.6, ENSG00000174004.5, ENSG00000178163.3, ENSG00000163071.6, ENSG00000138696.6, ENSG00000142319.14, ENSG00000016082.10, ENSG00000035499.8, ENSG00000187566.3, ENSG00000228223.1, ENSG00000124762.9, ENSG00000244694.3, ENSG00000231889.3, ENSG00000133561.11, ENSG00000173535.9, ENSG00000180543.3, ENSG00000155876.4, ENSG00000198963.6, ENSG00000175283.7, ENSG00000138293.15, ENSG00000166189.6, ENSG00000172409.5, ENSG00000059804.11, ENSG00000177981.6, ENSG00000269356.1, ENSG00000269376.1, ENSG00000100596.2, ENSG00000103966.5, ENSG00000188536.8, ENSG00000108947.4, ENSG00000066926.6, ENSG00000267197.1, ENSG00000130513.6, ENSG00000213965.3, ENSG00000180884.9, ENSG00000101138.7, ENSG00000269430.1, ENSG00000189369.7	ENSG00000132357.9, ENSG00000263624.1, ENSG00000182963.5, ENSG00000131080.10	10.5395607069052	0.219947262842483	10.6982121121216	0.196286331264141
Vagina	ENSG00000143125.5, ENSG00000177614.5, ENSG00000205837.3, ENSG00000172086.7, ENSG00000168530.11, ENSG00000234661.2, ENSG00000153404.9, ENSG00000198865.5, ENSG00000171530.9, ENSG00000165810.12, ENSG00000236700.1, ENSG00000060762.14, ENSG00000002746.10, ENSG00000253878.1, ENSG00000156467.5, ENSG00000156831.3, ENSG00000244734.2, ENSG00000139323.9, ENSG00000204442.2, ENSG00000262294.1, ENSG00000108312.10, ENSG00000198125.8, ENSG00000131269.11	NA	11.5189909081713	0.160339119144908	NA	NA
WholeBlood	ENSG00000134193.10, ENSG00000273002.1, ENSG00000133067.13, ENSG00000272148.1, ENSG00000170485.12, ENSG00000115091.7, ENSG00000260742.1, ENSG00000162972.6, ENSG00000163449.6, ENSG00000261338.1, ENSG00000225399.3, ENSG00000137441.7, ENSG00000264868.1, ENSG00000173114.8, ENSG00000260231.1, ENSG00000104341.12, ENSG00000122378.9, ENSG00000152804.6, ENSG00000165879.7, ENSG00000133808.4, ENSG00000172543.3, ENSG00000174807.3, ENSG00000160703.11, ENSG00000167552.9, ENSG00000110881.7, ENSG00000272849.1, ENSG00000261485.1, ENSG00000197324.4, ENSG00000226174.2, ENSG00000166971.12, ENSG00000125170.6, ENSG00000261218.1, ENSG00000183691.4, ENSG00000171302.12, ENSG00000267508.1, ENSG00000092758.11	ENSG00000239789.1, ENSG00000247095.2, ENSG00000140830.4, ENSG00000183688.4	12.0220810804316	0.10839711212023	12.2571144662754	0.0731944091557825
